Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
1-0,Current (A),Numeric,A,1,no,Phase 1 Old Main,Yes
1-1,Current CH1 (A),Numeric,A,1,no,Phase 1 Old Main,Yes
1-2,Current CH2 (B),Numeric,A,1,no,Phase 1 Old Main,Yes
1-3,Current CH3 (C),Numeric,A,1,no,Phase 1 Old Main,Yes
1-4,L-N Voltage (V),Numeric,V,1,no,Phase 1 Old Main,Yes
1-5,Voltage L1-N (AN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-6,Voltage L2-N (BN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-7,Voltage L3-N (CN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-8,L-L Voltage (V),Numeric,V,1,no,Phase 1 Old Main,Yes
1-9,Voltage L1-L2,Numeric,V,1,no,Phase 1 Old Main,Yes
1-10,Voltage L2-L3,Numeric,V,1,no,Phase 1 Old Main,Yes
1-11,Voltage L3-L1,Numeric,V,1,no,Phase 1 Old Main,Yes
1-12,Line Frequency,Numeric,Hz,1,no,Phase 1 Old Main,Yes
1-13,Demand (kW),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-14,Power CH1 (A),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-15,Power CH2 (B),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-16,Power CH3 (C),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-17,Apparent Power (kVA),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-18,VA CH1 (A),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-19,VA CH2 (B),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-20,VA CH3 (C),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-22,VAR CH1 (A),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-23,VAR CH2 (B),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-24,VAR CH3 (C),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-25,Power Factor (%),Numeric,,1,no,Phase 1 Old Main,Yes
1-26,Apparent PF CH1 (A),Numeric,,1,no,Phase 1 Old Main,Yes
1-27,Apparent PF CH2 (B),Numeric,,1,no,Phase 1 Old Main,Yes
1-28,Apparent PF CH3 (C),Numeric,,1,no,Phase 1 Old Main,Yes
1-29,Exported Energy Sum,Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-37,Exported VAh Sum,Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-41,Imported VAh Sum,Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Phase 1 Old Main,Yes
1-61,Watt Demand Element,Numeric,kW,1,no,Phase 1 Old Main,Yes
2-0,Current (A),Numeric,A,1,no,Phase 1 New Main,Yes
2-1,Current CH1 (A),Numeric,A,1,no,Phase 1 New Main,Yes
2-2,Current CH2 (B),Numeric,A,1,no,Phase 1 New Main,Yes
2-3,Current CH3 (C),Numeric,A,1,no,Phase 1 New Main,Yes
2-4,L-N Voltage (V),Numeric,V,1,no,Phase 1 New Main,Yes
2-5,Voltage L1-N (AN),Numeric,V,1,no,Phase 1 New Main,Yes
2-6,Voltage L2-N (BN),Numeric,V,1,no,Phase 1 New Main,Yes
2-7,Voltage L3-N (CN),Numeric,V,1,no,Phase 1 New Main,Yes
2-8,L-L Voltage (V),Numeric,V,1,no,Phase 1 New Main,Yes
2-9,Voltage L1-L2,Numeric,V,1,no,Phase 1 New Main,Yes
2-10,Voltage L2-L3,Numeric,V,1,no,Phase 1 New Main,Yes
2-11,Voltage L3-L1,Numeric,V,1,no,Phase 1 New Main,Yes
2-12,Line Frequency,Numeric,Hz,1,no,Phase 1 New Main,Yes
2-13,Demand (kW),Numeric,kW,1,no,Phase 1 New Main,Yes
2-14,Power CH1 (A),Numeric,kW,1,no,Phase 1 New Main,Yes
2-15,Power CH2 (B),Numeric,kW,1,no,Phase 1 New Main,Yes
2-16,Power CH3 (C),Numeric,kW,1,no,Phase 1 New Main,Yes
2-17,Apparent Power (kVA),Numeric,kVA,1,no,Phase 1 New Main,Yes
2-18,VA CH1 (A),Numeric,kVA,1,no,Phase 1 New Main,Yes
2-19,VA CH2 (B),Numeric,kVA,1,no,Phase 1 New Main,Yes
2-20,VA CH3 (C),Numeric,kVA,1,no,Phase 1 New Main,Yes
2-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Phase 1 New Main,Yes
2-22,VAR CH1 (A),Numeric,kVAR,1,no,Phase 1 New Main,Yes
2-23,VAR CH2 (B),Numeric,kVAR,1,no,Phase 1 New Main,Yes
2-24,VAR CH3 (C),Numeric,kVAR,1,no,Phase 1 New Main,Yes
2-25,Power Factor (%),Numeric,,1,no,Phase 1 New Main,Yes
2-26,Apparent PF CH1 (A),Numeric,,1,no,Phase 1 New Main,Yes
2-27,Apparent PF CH2 (B),Numeric,,1,no,Phase 1 New Main,Yes
2-28,Apparent PF CH3 (C),Numeric,,1,no,Phase 1 New Main,Yes
2-29,Exported Energy Sum,Numeric,kWh,1,no,Phase 1 New Main,Yes
2-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 New Main,Yes
2-37,Exported VAh Sum,Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-41,Imported VAh Sum,Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Phase 1 New Main,Yes
2-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Phase 1 New Main,Yes
2-61,Watt Demand Element,Numeric,kW,1,no,Phase 1 New Main,Yes
3-0,Current (A),Numeric,A,1,no,Compressor C-2,No
3-1,Current CH1 (A),Numeric,A,1,no,Compressor C-2,No
3-2,Current CH2 (B),Numeric,A,1,no,Compressor C-2,No
3-3,Current CH3 (C),Numeric,A,1,no,Compressor C-2,No
3-4,L-N Voltage (V),Numeric,V,1,no,Compressor C-2,No
3-5,Voltage L1-N (AN),Numeric,V,1,no,Compressor C-2,No
3-6,Voltage L2-N (BN),Numeric,V,1,no,Compressor C-2,No
3-7,Voltage L3-N (CN),Numeric,V,1,no,Compressor C-2,No
3-8,L-L Voltage (V),Numeric,V,1,no,Compressor C-2,No
3-9,Voltage L1-L2,Numeric,V,1,no,Compressor C-2,No
3-10,Voltage L2-L3,Numeric,V,1,no,Compressor C-2,No
3-11,Voltage L3-L1,Numeric,V,1,no,Compressor C-2,No
3-12,Line Frequency,Numeric,Hz,1,no,Compressor C-2,No
3-13,Demand (kW),Numeric,kW,1,no,Compressor C-2,No
3-14,Power CH1 (A),Numeric,kW,1,no,Compressor C-2,No
3-15,Power CH2 (B),Numeric,kW,1,no,Compressor C-2,No
3-16,Power CH3 (C),Numeric,kW,1,no,Compressor C-2,No
3-17,Apparent Power (kVA),Numeric,kVA,1,no,Compressor C-2,No
3-18,VA CH1 (A),Numeric,kVA,1,no,Compressor C-2,No
3-19,VA CH2 (B),Numeric,kVA,1,no,Compressor C-2,No
3-20,VA CH3 (C),Numeric,kVA,1,no,Compressor C-2,No
3-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Compressor C-2,No
3-22,VAR CH1 (A),Numeric,kVAR,1,no,Compressor C-2,No
3-23,VAR CH2 (B),Numeric,kVAR,1,no,Compressor C-2,No
3-24,VAR CH3 (C),Numeric,kVAR,1,no,Compressor C-2,No
3-25,Power Factor (%),Numeric,,1,no,Compressor C-2,No
3-26,Apparent PF CH1 (A),Numeric,,1,no,Compressor C-2,No
3-27,Apparent PF CH2 (B),Numeric,,1,no,Compressor C-2,No
3-28,Apparent PF CH3 (C),Numeric,,1,no,Compressor C-2,No
3-29,Exported Energy Sum,Numeric,kWh,1,no,Compressor C-2,No
3-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-2,No
3-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-2,No
3-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-2,No
3-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Compressor C-2,No
3-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-2,No
3-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-2,No
3-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-2,No
3-37,Exported VAh Sum,Numeric,kVAh,1,no,Compressor C-2,No
3-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-2,No
3-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-2,No
3-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-2,No
3-41,Imported VAh Sum,Numeric,kVAh,1,no,Compressor C-2,No
3-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-2,No
3-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-2,No
3-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-2,No
3-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Compressor C-2,No
3-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Compressor C-2,No
3-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Compressor C-2,No
3-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Compressor C-2,No
3-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-2,No
3-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-2,No
3-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-2,No
3-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-2,No
3-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-2,No
3-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-2,No
3-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-2,No
3-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-2,No
3-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-2,No
3-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-2,No
3-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-2,No
3-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-2,No
3-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-2,No
4-0,Current (A),Numeric,A,1,no,Compressor C-3,No
4-1,Current CH1 (A),Numeric,A,1,no,Compressor C-3,No
4-2,Current CH2 (B),Numeric,A,1,no,Compressor C-3,No
4-3,Current CH3 (C),Numeric,A,1,no,Compressor C-3,No
4-4,L-N Voltage (V),Numeric,V,1,no,Compressor C-3,No
4-5,Voltage L1-N (AN),Numeric,V,1,no,Compressor C-3,No
4-6,Voltage L2-N (BN),Numeric,V,1,no,Compressor C-3,No
4-7,Voltage L3-N (CN),Numeric,V,1,no,Compressor C-3,No
4-8,L-L Voltage (V),Numeric,V,1,no,Compressor C-3,No
4-9,Voltage L1-L2,Numeric,V,1,no,Compressor C-3,No
4-10,Voltage L2-L3,Numeric,V,1,no,Compressor C-3,No
4-11,Voltage L3-L1,Numeric,V,1,no,Compressor C-3,No
4-12,Line Frequency,Numeric,Hz,1,no,Compressor C-3,No
4-13,Demand (kW),Numeric,kW,1,no,Compressor C-3,No
4-14,Power CH1 (A),Numeric,kW,1,no,Compressor C-3,No
4-15,Power CH2 (B),Numeric,kW,1,no,Compressor C-3,No
4-16,Power CH3 (C),Numeric,kW,1,no,Compressor C-3,No
4-17,Apparent Power (kVA),Numeric,kVA,1,no,Compressor C-3,No
4-18,VA CH1 (A),Numeric,kVA,1,no,Compressor C-3,No
4-19,VA CH2 (B),Numeric,kVA,1,no,Compressor C-3,No
4-20,VA CH3 (C),Numeric,kVA,1,no,Compressor C-3,No
4-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Compressor C-3,No
4-22,VAR CH1 (A),Numeric,kVAR,1,no,Compressor C-3,No
4-23,VAR CH2 (B),Numeric,kVAR,1,no,Compressor C-3,No
4-24,VAR CH3 (C),Numeric,kVAR,1,no,Compressor C-3,No
4-25,Power Factor (%),Numeric,,1,no,Compressor C-3,No
4-26,Apparent PF CH1 (A),Numeric,,1,no,Compressor C-3,No
4-27,Apparent PF CH2 (B),Numeric,,1,no,Compressor C-3,No
4-28,Apparent PF CH3 (C),Numeric,,1,no,Compressor C-3,No
4-29,Exported Energy Sum,Numeric,kWh,1,no,Compressor C-3,No
4-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-3,No
4-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-3,No
4-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-3,No
4-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Compressor C-3,No
4-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-3,No
4-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-3,No
4-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-3,No
4-37,Exported VAh Sum,Numeric,kVAh,1,no,Compressor C-3,No
4-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-3,No
4-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-3,No
4-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-3,No
4-41,Imported VAh Sum,Numeric,kVAh,1,no,Compressor C-3,No
4-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-3,No
4-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-3,No
4-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-3,No
4-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-3,No
5-0,Current (A),Numeric,A,1,no,Compressor C-5,No
5-1,Current CH1 (A),Numeric,A,1,no,Compressor C-5,No
5-2,Current CH2 (B),Numeric,A,1,no,Compressor C-5,No
5-3,Current CH3 (C),Numeric,A,1,no,Compressor C-5,No
